country,conf_gate,n_eligible,n_total,pct_eligible,avg_conf_eligible
Kenya,0.0,30,30,100.0,0.2573
Kenya,0.1,30,30,100.0,0.2573
Kenya,0.15,20,30,66.7,0.3298
Kenya,0.2,15,30,50.0,0.3841
Kenya,0.25,15,30,50.0,0.3841
Kenya,0.3,10,30,33.3,0.4512
Kenya,0.4,7,30,23.3,0.4838
Kenya,0.5,5,30,16.7,0.5
Tanzania,0.0,27,27,100.0,0.2405
Tanzania,0.1,27,27,100.0,0.2405
Tanzania,0.15,17,27,63.0,0.3158
Tanzania,0.2,12,27,44.4,0.3779
Tanzania,0.25,12,27,44.4,0.3779
Tanzania,0.3,7,27,25.9,0.4693
Tanzania,0.4,6,27,22.2,0.4937
Tanzania,0.5,5,27,18.5,0.5
Uganda,0.0,27,27,100.0,0.2392
Uganda,0.1,27,27,100.0,0.2392
Uganda,0.15,17,27,63.0,0.3137
Uganda,0.2,12,27,44.4,0.3749
Uganda,0.25,12,27,44.4,0.3749
Uganda,0.3,7,27,25.9,0.4641
Uganda,0.4,5,27,18.5,0.5
Uganda,0.5,5,27,18.5,0.5
