benchmark,scenario,drop_fraction,seed,mean_avg_confidence,kenya_conf,tanzania_conf,uganda_conf
sparsity,local,0.0,0,0.153842,0.159007,0.150696,0.151823
sparsity,federated,0.0,0,0.360547,0.365965,0.356105,0.359571
sparsity,local,0.0,1,0.153842,0.159007,0.150696,0.151823
sparsity,federated,0.0,1,0.360547,0.365965,0.356105,0.359571
sparsity,local,0.0,2,0.153842,0.159007,0.150696,0.151823
sparsity,federated,0.0,2,0.360547,0.365965,0.356105,0.359571
sparsity,local,0.0,3,0.153842,0.159007,0.150696,0.151823
sparsity,federated,0.0,3,0.360547,0.365965,0.356105,0.359571
sparsity,local,0.0,4,0.153842,0.159007,0.150696,0.151823
sparsity,federated,0.0,4,0.360547,0.365965,0.356105,0.359571
sparsity,local,0.2,0,0.145025,0.15797,0.128333,0.148772
sparsity,federated,0.2,0,0.373685,0.381461,0.363726,0.375869
sparsity,local,0.2,1,0.150947,0.129864,0.161184,0.161794
sparsity,federated,0.2,1,0.363195,0.382208,0.336622,0.370755
sparsity,local,0.2,2,0.14763,0.134139,0.159475,0.149278
sparsity,federated,0.2,2,0.363808,0.345999,0.34709,0.398334
sparsity,local,0.2,3,0.134475,0.135289,0.149452,0.118683
sparsity,federated,0.2,3,0.361741,0.376139,0.371191,0.337893
sparsity,local,0.2,4,0.124588,0.131181,0.118429,0.124153
sparsity,federated,0.2,4,0.359959,0.367975,0.371932,0.33997
sparsity,local,0.4,0,0.1192,0.134743,0.106132,0.116725
sparsity,federated,0.4,0,0.307816,0.371351,0.258814,0.293285
sparsity,local,0.4,1,0.117179,0.120697,0.109521,0.121319
sparsity,federated,0.4,1,0.343551,0.406598,0.252713,0.371343
sparsity,local,0.4,2,0.12053,0.11447,0.121359,0.12576
sparsity,federated,0.4,2,0.306417,0.263354,0.370298,0.285598
sparsity,local,0.4,3,0.109421,0.106234,0.119741,0.102289
sparsity,federated,0.4,3,0.339991,0.401282,0.306307,0.312386
sparsity,local,0.4,4,0.113451,0.133699,0.099444,0.10721
sparsity,federated,0.4,4,0.333635,0.265014,0.336177,0.399716
sparsity,local,0.6,0,0.139462,0.158012,0.146771,0.113602
sparsity,federated,0.6,0,0.228071,0.320708,0.178114,0.18539
sparsity,local,0.6,1,0.163588,0.179012,0.1454,0.166351
sparsity,federated,0.6,1,0.205552,0.183776,0.178613,0.254266
sparsity,local,0.6,2,0.128087,0.160346,0.119853,0.104063
sparsity,federated,0.6,2,0.229353,0.264346,0.262667,0.161045
sparsity,local,0.6,3,0.123201,0.130921,0.125048,0.113634
sparsity,federated,0.6,3,0.229691,0.183866,0.259704,0.245504
sparsity,local,0.6,4,0.130916,0.129558,0.157693,0.105498
sparsity,federated,0.6,4,0.239573,0.125713,0.245491,0.347515
