variant,country,country_code,year,step_count,avg_confidence,active_hyp,join_year,pioneer_rows
cold,Uganda,UGA,2000,1,0.416667,38,2000,20
warm,Uganda,UGA,2000,21,0.197772,58,2000,20
cold,Uganda,UGA,2001,2,0.338816,38,2000,20
warm,Uganda,UGA,2001,22,0.191525,58,2000,20
cold,Uganda,UGA,2002,3,0.306469,38,2000,20
warm,Uganda,UGA,2002,23,0.189556,58,2000,20
cold,Uganda,UGA,2003,4,0.279539,38,2000,20
warm,Uganda,UGA,2003,24,0.188808,58,2000,20
cold,Uganda,UGA,2004,5,0.296283,43,2000,20
warm,Uganda,UGA,2004,25,0.213767,63,2000,20
cold,Uganda,UGA,2005,6,0.264286,43,2000,20
warm,Uganda,UGA,2005,26,0.200175,63,2000,20
cold,Uganda,UGA,2006,7,0.244264,43,2000,20
warm,Uganda,UGA,2006,27,0.193827,63,2000,20
cold,Uganda,UGA,2007,8,0.230304,43,2000,20
warm,Uganda,UGA,2007,28,0.190566,63,2000,20
cold,Uganda,UGA,2008,9,0.219713,43,2000,20
warm,Uganda,UGA,2008,29,0.188315,63,2000,20
cold,Uganda,UGA,2009,10,0.242663,48,2000,20
warm,Uganda,UGA,2009,30,0.269296,40,2000,20
cold,Uganda,UGA,2010,11,0.219108,48,2000,20
warm,Uganda,UGA,2010,31,0.24598,40,2000,20
cold,Uganda,UGA,2011,12,0.204964,48,2000,20
warm,Uganda,UGA,2011,32,0.234119,40,2000,20
cold,Uganda,UGA,2012,13,0.194346,48,2000,20
warm,Uganda,UGA,2012,33,0.226588,40,2000,20
cold,Uganda,UGA,2013,14,0.186643,48,2000,20
warm,Uganda,UGA,2013,34,0.221651,40,2000,20
cold,Uganda,UGA,2014,15,0.211524,53,2000,20
warm,Uganda,UGA,2014,35,0.249307,45,2000,20
cold,Uganda,UGA,2015,16,0.191989,53,2000,20
warm,Uganda,UGA,2015,36,0.228944,45,2000,20
cold,Uganda,UGA,2016,17,0.180649,53,2000,20
warm,Uganda,UGA,2016,37,0.218116,45,2000,20
cold,Uganda,UGA,2017,18,0.172206,53,2000,20
warm,Uganda,UGA,2017,38,0.210958,45,2000,20
cold,Uganda,UGA,2018,19,0.166614,53,2000,20
warm,Uganda,UGA,2018,39,0.206141,45,2000,20
cold,Uganda,UGA,2019,20,0.191622,58,2000,20
warm,Uganda,UGA,2019,40,0.282413,39,2000,20
cold,Uganda,UGA,2020,21,0.176969,58,2000,20
warm,Uganda,UGA,2020,41,0.257889,39,2000,20
cold,Uganda,UGA,2021,22,0.170114,58,2000,20
warm,Uganda,UGA,2021,42,0.245195,39,2000,20
cold,Uganda,UGA,2022,23,0.166866,58,2000,20
warm,Uganda,UGA,2022,43,0.237076,39,2000,20
cold,Uganda,UGA,2023,24,0.164839,58,2000,20
warm,Uganda,UGA,2023,44,0.231527,39,2000,20
