scenario,country,country_code,year,step_count,avg_confidence,active_hyp
local,Kenya,KEN,1990,1,0.416667,38
local,Tanzania,TZA,1990,1,0.416667,38
local,Uganda,UGA,1990,1,0.416667,38
federated,Kenya,KEN,1990,3,0.328937,38
federated,Tanzania,TZA,1990,3,0.325445,38
federated,Uganda,UGA,1990,3,0.320877,38
local,Kenya,KEN,1991,2,0.342105,38
local,Tanzania,TZA,1991,2,0.345395,38
local,Uganda,UGA,1991,2,0.351974,38
federated,Kenya,KEN,1991,6,0.284233,43
federated,Tanzania,TZA,1991,6,0.284676,43
federated,Uganda,UGA,1991,6,0.279225,43
local,Kenya,KEN,1992,3,0.30193,38
local,Tanzania,TZA,1992,3,0.31006,38
local,Uganda,UGA,1992,3,0.320005,38
federated,Kenya,KEN,1992,9,0.247229,43
federated,Tanzania,TZA,1992,9,0.242577,43
federated,Uganda,UGA,1992,9,0.243607,43
local,Kenya,KEN,1993,4,0.273686,38
local,Tanzania,TZA,1993,4,0.280497,38
local,Uganda,UGA,1993,4,0.296474,38
federated,Kenya,KEN,1993,12,0.231931,48
federated,Tanzania,TZA,1993,12,0.228449,48
federated,Uganda,UGA,1993,12,0.228277,48
local,Kenya,KEN,1994,5,0.280196,43
local,Tanzania,TZA,1994,5,0.292181,43
local,Uganda,UGA,1994,5,0.303138,43
federated,Kenya,KEN,1994,15,0.236341,53
federated,Tanzania,TZA,1994,15,0.234097,53
federated,Uganda,UGA,1994,15,0.234106,53
local,Kenya,KEN,1995,6,0.24616,43
local,Tanzania,TZA,1995,6,0.260665,43
local,Uganda,UGA,1995,6,0.269936,43
federated,Kenya,KEN,1995,18,0.197113,53
federated,Tanzania,TZA,1995,18,0.195718,53
federated,Uganda,UGA,1995,18,0.195587,53
local,Kenya,KEN,1996,7,0.230266,43
local,Tanzania,TZA,1996,7,0.246595,43
local,Uganda,UGA,1996,7,0.251189,43
federated,Kenya,KEN,1996,21,0.199039,58
federated,Tanzania,TZA,1996,21,0.198104,58
federated,Uganda,UGA,1996,21,0.198779,58
local,Kenya,KEN,1997,8,0.21652,43
local,Tanzania,TZA,1997,8,0.238857,43
local,Uganda,UGA,1997,8,0.236273,43
federated,Kenya,KEN,1997,24,0.184223,58
