step,n_years_seen,avg_conf,n_active,n_total,above_gate
3,3,0.0,0,43,0
4,4,0.0,0,48,0
5,5,0.0,0,48,0
6,6,0.0,0,53,0
7,7,0.0,0,53,0
8,8,0.0,0,58,0
9,9,0.0,0,58,0
10,10,0.4423,5,20,1
11,11,0.4475,5,20,1
12,12,0.4494,5,25,1
13,13,0.464,5,25,1
14,14,0.478,5,30,1
15,15,0.4696,5,30,1
16,16,0.4668,5,35,1
17,17,0.4585,5,35,1
18,18,0.4593,5,40,1
19,19,0.4503,5,40,1
20,20,0.4415,5,20,1
21,21,0.4324,5,20,1
22,22,0.4326,5,25,1
23,23,0.4294,5,25,1
24,24,0.4191,5,30,1
25,25,0.4193,5,30,1
26,26,0.4155,5,35,1
27,27,0.4115,5,35,1
28,28,0.4142,5,40,1
29,29,0.4184,5,40,1
30,30,0.414,5,20,1
31,31,0.4118,5,20,1
32,32,0.4085,5,25,1
33,33,0.4095,5,25,1
34,34,0.4023,5,30,1
