hypothesis_id,rel_type,final_state,n_state_changes,final_conf,evidence
6c0ff11f,TEMPORAL,active,0,0.3971,34
b4a3786f,TEMPORAL,active,0,0.444,34
7adf8233,TEMPORAL,active,0,0.3531,34
23b49d8d,TEMPORAL,active,0,0.4424,34
40941386,TEMPORAL,active,0,0.3752,34
385df4c6,CAUSAL,tentative,0,0.125,6
4125c256,CAUSAL,tentative,0,0.125,6
ab212f26,COMPETITIVE,tentative,0,0.125,6
c8fbb68e,SYNERGISTIC,tentative,0,0.125,6
814e0732,MEDIATING,tentative,0,0.125,6
43c765e6,COMPETITIVE,tentative,0,0.1667,4
943c7dd8,PROBABILISTIC,tentative,0,0.1667,4
e5ca791c,GRAPH,tentative,0,0.1667,4
c6da9a66,SYNERGISTIC,tentative,0,0.1667,4
941c49de,MEDIATING,tentative,0,0.1667,4
17a647e2,GRAPH,tentative,0,0.25,2
9cf0b380,FUNCTIONAL,tentative,0,0.25,2
24f96166,FUNCTIONAL,tentative,0,0.25,2
97a55b60,SYNERGISTIC,tentative,0,0.25,2
c298680d,MEDIATING,tentative,0,0.25,2
03308d47,FUNCTIONAL,tentative,0,0.5,0
b3b956a6,CAUSAL,tentative,0,0.5,0
f2605960,CAUSAL,tentative,0,0.5,0
17c2cc10,SYNERGISTIC,tentative,0,0.5,0
99548797,MEDIATING,tentative,0,0.5,0
