hypothesis_id,rel_type,birth_step,death_step,lifetime_steps,n_state_transitions,final_state,final_conf,evidence
8349ce97,pruned,0,9,9,0,tentative,0.0,0
2f25cb56,pruned,0,9,9,0,tentative,0.0,0
d2fc306f,MEDIATING,33,34,1,0,tentative,0.5,0
c0010cce,FUNCTIONAL,33,34,1,0,tentative,0.5,0
58e27ed3,pruned,0,9,9,0,tentative,0.0,0
c9020b79,pruned,13,19,6,0,tentative,0.0,0
c119587c,pruned,17,29,12,0,tentative,0.0,0
18e26d4a,pruned,0,9,9,0,tentative,0.0,0
2c42c53c,pruned,0,9,9,0,tentative,0.0,0
8f48f991,pruned,0,9,9,0,tentative,0.0,0
a5ee37fc,pruned,7,19,12,0,tentative,0.0,0
3824deab,pruned,0,9,9,0,tentative,0.0,0
2e8b9903,pruned,13,19,6,0,tentative,0.0,0
cbf449c0,pruned,5,19,14,0,tentative,0.0,0
74995489,pruned,0,9,9,0,tentative,0.0,0
bc3893fe,pruned,7,19,12,0,tentative,0.0,0
15ed65cd,pruned,1,9,8,0,tentative,0.0,0
59e76ae1,TEMPORAL,0,34,34,1,active,0.3971,34
429e815f,pruned,0,9,9,0,tentative,0.0,0
c3f67dc9,pruned,0,9,9,0,tentative,0.0,0
da7c7840,MEDIATING,25,34,9,0,tentative,0.1,8
6bd72a86,pruned,0,9,9,0,tentative,0.0,0
03bbd052,pruned,7,19,12,0,tentative,0.0,0
c951e9ce,pruned,3,9,6,0,tentative,0.0,0
0dd2526e,SYNERGISTIC,25,34,9,0,tentative,0.1,8
58030a06,pruned,9,19,10,0,tentative,0.0,0
d6c613c8,CAUSAL,27,34,7,0,tentative,0.125,6
a3711dae,pruned,0,9,9,0,tentative,0.0,0
da88ab39,pruned,0,9,9,0,tentative,0.0,0
56990bbf,pruned,11,19,8,0,tentative,0.0,0
eeef112d,pruned,0,9,9,0,tentative,0.0,0
8be3691d,SYNERGISTIC,33,34,1,0,tentative,0.5,0
5c706756,pruned,3,9,6,0,tentative,0.0,0
