country,year,fold,online_scarcity_mae,batch_ar1_mae,online_better,scarcity_conf,n_own_obs
Kenya,1996,6,5.35276,8.77006,yes,0.1751,6
Kenya,1997,7,1.82158,1.63323,no,0.16045,7
Kenya,1998,8,1.47083,1.28683,no,0.14943,8
Kenya,1999,9,1.40266,1.2143,no,0.17578,9
Kenya,2000,10,1.32964,1.1284,no,0.15416,10
Kenya,2001,11,1.25339,1.01744,no,0.1408,11
Kenya,2002,12,1.22703,0.98708,no,0.12987,12
Kenya,2003,13,1.2209,0.99485,no,0.12288,13
Kenya,2004,14,1.21352,0.9847,no,0.15501,14
Kenya,2005,15,1.21941,0.97762,no,0.13374,15
Kenya,2006,16,1.18088,0.95354,no,0.122,16
Kenya,2007,17,1.18027,0.92401,no,0.11267,17
Kenya,2008,18,1.18743,0.91698,no,0.10727,18
Kenya,2009,19,1.17579,0.89669,no,0.13664,19
Kenya,2010,20,1.17789,0.88724,no,0.12923,20
Kenya,2011,21,1.17278,0.87903,no,0.12977,21
Kenya,2012,22,1.17428,0.88963,no,0.13149,22
Kenya,2013,23,1.14987,0.88412,no,0.13502,23
Kenya,2014,24,1.16226,0.88225,no,0.16743,24
Kenya,2015,25,1.13973,0.87561,no,0.15845,25
Kenya,2016,26,1.1426,0.87749,no,0.15536,26
Kenya,2017,27,1.12807,0.87342,no,0.15563,27
Kenya,2018,28,1.1357,0.86963,no,0.1566,28
Kenya,2019,29,1.12702,0.86729,no,0.23066,29
Kenya,2020,30,1.11849,0.86493,no,0.20518,30
Kenya,2021,31,1.11003,0.86222,no,0.1922,31
Kenya,2022,32,1.11316,0.85975,no,0.18508,32
Kenya,2023,33,1.11032,0.85819,no,0.181,33
Tanzania,1996,6,2.69014,3.64709,yes,0.1777,6
Tanzania,1997,7,1.428,1.4744,yes,0.16158,7
Tanzania,1998,8,1.35761,1.32428,no,0.14873,8
Tanzania,1999,9,1.28592,1.1869,no,0.17693,9
Tanzania,2000,10,1.20112,1.12048,no,0.15365,10
Tanzania,2001,11,1.19485,1.10707,no,0.13911,11
Tanzania,2002,12,1.18323,1.06902,no,0.1282,12
Tanzania,2003,13,1.18926,1.05216,no,0.12246,13
Tanzania,2004,14,1.17751,1.02501,no,0.15226,14
Tanzania,2005,15,1.15937,0.99668,no,0.13207,15
Tanzania,2006,16,1.12378,0.99674,no,0.12012,16
Tanzania,2007,17,1.11774,0.97199,no,0.11106,17
Tanzania,2008,18,1.10464,0.95555,no,0.10572,18
Tanzania,2009,19,1.11385,0.93321,no,0.1357,19
Tanzania,2010,20,1.11717,0.92779,no,0.12873,20
Tanzania,2011,21,1.10881,0.91582,no,0.1274,21
Tanzania,2012,22,1.12335,0.91149,no,0.13057,22
Tanzania,2013,23,1.09417,0.90618,no,0.13494,23
Tanzania,2014,24,1.09771,0.89865,no,0.1671,24
Tanzania,2015,25,1.11917,0.89493,no,0.15788,25
Tanzania,2016,26,1.13531,0.89379,no,0.15482,26
Tanzania,2017,27,1.12878,0.88922,no,0.15585,27
Tanzania,2018,28,1.14318,0.88922,no,0.15723,28
Tanzania,2019,29,1.1387,0.88871,no,0.22527,29
Tanzania,2020,30,1.143,0.8829,no,0.20074,30
Tanzania,2021,31,1.11879,0.88094,no,0.18981,31
Tanzania,2022,32,1.13844,0.87873,no,0.18292,32
Tanzania,2023,33,1.14012,0.87728,no,0.17886,33
Uganda,1996,6,5.06225,10.98839,yes,0.16942,6
Uganda,1997,7,1.59444,1.79982,yes,0.1508,7
Uganda,1998,8,1.49462,1.56842,yes,0.13956,8
Uganda,1999,9,1.35673,1.35003,no,0.16965,9
Uganda,2000,10,1.27858,1.26013,no,0.14852,10
Uganda,2001,11,1.28315,1.17581,no,0.13325,11
Uganda,2002,12,1.27399,1.13551,no,0.12467,12
Uganda,2003,13,1.27063,1.11855,no,0.11941,13
Uganda,2004,14,1.23753,1.07294,no,0.1513,14
Uganda,2005,15,1.20749,1.02824,no,0.13194,15
Uganda,2006,16,1.20968,1.00333,no,0.12,16
Uganda,2007,17,1.18814,0.97925,no,0.11191,17
Uganda,2008,18,1.18481,0.97587,no,0.10573,18
Uganda,2009,19,1.1565,0.97469,no,0.13641,19
Uganda,2010,20,1.15382,0.95848,no,0.12897,20
Uganda,2011,21,1.1568,0.94322,no,0.12867,21
Uganda,2012,22,1.15577,0.93186,no,0.13084,22
Uganda,2013,23,1.14938,0.92396,no,0.13351,23
Uganda,2014,24,1.12562,0.90864,no,0.16669,24
Uganda,2015,25,1.13394,0.89898,no,0.15684,25
Uganda,2016,26,1.13541,0.89182,no,0.15492,26
Uganda,2017,27,1.13808,0.89184,no,0.15447,27
Uganda,2018,28,1.13281,0.88803,no,0.15583,28
Uganda,2019,29,1.1066,0.89192,no,0.23117,29
Uganda,2020,30,1.11415,0.88749,no,0.20762,30
Uganda,2021,31,1.11254,0.88351,no,0.19708,31
Uganda,2022,32,1.09391,0.87833,no,0.19147,32
Uganda,2023,33,1.10317,0.87769,no,0.18645,33
