pioneer_rows,uga_step,avg_confidence,active_hyp,conf_after_warmstart
0,1,0.41667,38,0.0
0,2,0.3125,38,0.0
0,3,0.26037,38,0.0
0,4,0.21959,38,0.0
0,5,0.22685,43,0.0
0,6,0.19077,43,0.0
0,7,0.16641,43,0.0
0,8,0.1504,43,0.0
0,9,0.14087,43,0.0
0,10,0.17306,48,0.0
0,11,0.1484,48,0.0
0,12,0.13512,48,0.0
0,13,0.12813,48,0.0
0,14,0.12183,48,0.0
0,15,0.15331,53,0.0
0,16,0.13252,53,0.0
0,17,0.12076,53,0.0
0,18,0.1121,53,0.0
0,19,0.10747,53,0.0
0,20,0.13665,58,0.0
0,21,0.12995,58,0.0
0,22,0.12969,58,0.0
0,23,0.1318,58,0.0
0,24,0.13585,58,0.0
0,25,0.16833,63,0.0
0,26,0.15964,63,0.0
0,27,0.15663,63,0.0
0,28,0.15669,63,0.0
0,29,0.15889,63,0.0
0,30,0.23065,36,0.0
0,31,0.20724,36,0.0
0,32,0.19588,36,0.0
0,33,0.18761,36,0.0
0,34,0.18384,36,0.0
5,1,0.19411,43,0.22902
5,2,0.1742,43,0.22902
5,3,0.15986,43,0.22902
5,4,0.15929,43,0.22902
5,5,0.18669,48,0.22902
5,6,0.16647,48,0.22902
5,7,0.15109,48,0.22902
5,8,0.14135,48,0.22902
5,9,0.13477,48,0.22902
5,10,0.1653,53,0.22902
5,11,0.14327,53,0.22902
5,12,0.13154,53,0.22902
5,13,0.1235,53,0.22902
5,14,0.1184,53,0.22902
5,15,0.14655,58,0.22902
5,16,0.13502,58,0.22902
5,17,0.13006,58,0.22902
5,18,0.12857,58,0.22902
5,19,0.1291,58,0.22902
5,20,0.15913,63,0.22902
5,21,0.1471,63,0.22902
5,22,0.14155,63,0.22902
5,23,0.13877,63,0.22902
5,24,0.13823,63,0.22902
5,25,0.21117,30,0.22902
5,26,0.17976,30,0.22902
5,27,0.16074,30,0.22902
5,28,0.1485,30,0.22902
5,29,0.1407,30,0.22902
5,30,0.18624,35,0.22902
5,31,0.15757,35,0.22902
5,32,0.14231,35,0.22902
5,33,0.1313,35,0.22902
5,34,0.12393,35,0.22902
10,1,0.15138,48,0.17544
10,2,0.13722,48,0.17544
10,3,0.12861,48,0.17544
10,4,0.12281,48,0.17544
10,5,0.15364,53,0.17544
10,6,0.13623,53,0.17544
10,7,0.12543,53,0.17544
10,8,0.11895,53,0.17544
10,9,0.11702,53,0.17544
10,10,0.14743,58,0.17544
10,11,0.1356,58,0.17544
10,12,0.13105,58,0.17544
10,13,0.12944,58,0.17544
10,14,0.13038,58,0.17544
10,15,0.1605,63,0.17544
10,16,0.14774,63,0.17544
10,17,0.14139,63,0.17544
10,18,0.13824,63,0.17544
10,19,0.13705,63,0.17544
10,20,0.21906,30,0.17544
10,21,0.18614,30,0.17544
10,22,0.1674,30,0.17544
10,23,0.15485,30,0.17544
10,24,0.14636,30,0.17544
10,25,0.19045,35,0.17544
10,26,0.16288,35,0.17544
10,27,0.14641,35,0.17544
10,28,0.13574,35,0.17544
10,29,0.12879,35,0.17544
10,30,0.21524,30,0.17544
10,31,0.18227,30,0.17544
10,32,0.16449,30,0.17544
10,33,0.15188,30,0.17544
10,34,0.14339,30,0.17544
20,1,0.1288,58,0.13531
20,2,0.12791,58,0.13531
20,3,0.12856,58,0.13531
20,4,0.12978,58,0.13531
20,5,0.1602,63,0.13531
20,6,0.14883,63,0.13531
20,7,0.14368,63,0.13531
20,8,0.14142,63,0.13531
20,9,0.14081,63,0.13531
20,10,0.22465,32,0.13531
20,11,0.19476,32,0.13531
20,12,0.1798,32,0.13531
20,13,0.17099,32,0.13531
20,14,0.16519,32,0.13531
20,15,0.20623,37,0.13531
20,16,0.18021,37,0.13531
20,17,0.16564,37,0.13531
20,18,0.15576,37,0.13531
20,19,0.14981,37,0.13531
20,20,0.23422,32,0.13531
20,21,0.20416,32,0.13531
20,22,0.18689,32,0.13531
20,23,0.17536,32,0.13531
20,24,0.16886,32,0.13531
20,25,0.20795,37,0.13531
20,26,0.18223,37,0.13531
20,27,0.16679,37,0.13531
20,28,0.1568,37,0.13531
20,29,0.14995,37,0.13531
20,30,0.25611,28,0.13531
20,31,0.22255,28,0.13531
20,32,0.20464,28,0.13531
20,33,0.19206,28,0.13531
20,34,0.18404,28,0.13531
30,1,0.20739,37,0.23025
30,2,0.19631,37,0.23025
30,3,0.18964,37,0.23025
30,4,0.1854,37,0.23025
30,5,0.22017,42,0.23025
30,6,0.19873,42,0.23025
30,7,0.18749,42,0.23025
30,8,0.18065,42,0.23025
30,9,0.17592,42,0.23025
30,10,0.25478,37,0.23025
30,11,0.2295,37,0.23025
30,12,0.2162,37,0.23025
30,13,0.20844,37,0.23025
30,14,0.2031,37,0.23025
30,15,0.23474,42,0.23025
30,16,0.21198,42,0.23025
30,17,0.19933,42,0.23025
30,18,0.19107,42,0.23025
30,19,0.18636,42,0.23025
30,20,0.30396,29,0.23025
30,21,0.27231,29,0.23025
30,22,0.25542,29,0.23025
30,23,0.24449,29,0.23025
30,24,0.23803,29,0.23025
30,25,0.27152,34,0.23025
30,26,0.24413,34,0.23025
30,27,0.22841,34,0.23025
30,28,0.21861,34,0.23025
30,29,0.21204,34,0.23025
30,30,0.28257,33,0.23025
30,31,0.25376,33,0.23025
30,32,0.23846,33,0.23025
30,33,0.22788,33,0.23025
30,34,0.22076,33,0.23025
