data_fraction,years_used,country,country_code,local_conf,federated_conf,fed_advantage,local_active,fed_active,comm_rounds
0.2,6,Kenya,KEN,0.19404,0.14075,-0.05329,43,53,6
0.2,6,Tanzania,TZA,0.19884,0.14636,-0.05248,43,53,6
0.2,6,Uganda,UGA,0.19077,0.14281,-0.04796,43,53,6
0.4,13,Kenya,KEN,0.12859,0.26344,0.13485,48,55,13
0.4,13,Tanzania,TZA,0.13042,0.26738,0.13697,48,56,13
0.4,13,Uganda,UGA,0.12813,0.26817,0.14005,48,58,13
0.6,20,Kenya,KEN,0.13531,0.40388,0.26857,58,48,20
0.6,20,Tanzania,TZA,0.13686,0.41144,0.27457,58,48,20
0.6,20,Uganda,UGA,0.13665,0.40878,0.27213,58,50,20
0.8,27,Kenya,KEN,0.15572,0.39741,0.24169,63,50,27
0.8,27,Tanzania,TZA,0.15627,0.40689,0.25062,63,50,27
0.8,27,Uganda,UGA,0.15663,0.40509,0.24847,63,52,27
1.0,34,Kenya,KEN,0.18614,0.43369,0.24755,37,46,34
1.0,34,Tanzania,TZA,0.17954,0.4437,0.26416,36,46,34
1.0,34,Uganda,UGA,0.18384,0.4501,0.26627,36,47,34
