eth_step,year,cold_conf,warm_conf,advantage,cold_active,warm_active,pioneer_rows,warm_start_conf
1,1990,0.41667,0.24977,-0.1669,38,30,102,0.26045
2,1991,0.3125,0.2424,-0.0701,38,30,102,0.26045
3,1992,0.26199,0.27452,0.01253,38,35,102,0.26045
4,1993,0.22256,0.24684,0.02428,38,35,102,0.26045
5,1994,0.23234,0.23196,-0.00038,43,35,102,0.26045
6,1995,0.19864,0.22214,0.0235,43,35,102,0.26045
7,1996,0.17396,0.21528,0.04132,43,35,102,0.26045
8,1997,0.15621,0.29922,0.14301,43,32,102,0.26045
9,1998,0.14257,0.2688,0.12623,43,32,102,0.26045
10,1999,0.16867,0.25216,0.08349,48,32,102,0.26045
11,2000,0.14481,0.2412,0.09639,48,32,102,0.26045
12,2001,0.13107,0.2334,0.10233,48,32,102,0.26045
13,2002,0.12166,0.26428,0.14262,48,37,102,0.26045
14,2003,0.11447,0.23748,0.12301,48,37,102,0.26045
15,2004,0.14486,0.22277,0.07791,53,37,102,0.26045
16,2005,0.12411,0.21297,0.08886,53,37,102,0.26045
17,2006,0.11322,0.20599,0.09278,53,37,102,0.26045
18,2007,0.10495,0.27653,0.17158,53,35,102,0.26045
19,2008,0.09839,0.24831,0.14992,53,35,102,0.26045
20,2009,0.12848,0.23273,0.10425,58,35,102,0.26045
21,2010,0.11947,0.22247,0.103,58,35,102,0.26045
22,2011,0.11825,0.21483,0.09658,58,35,102,0.26045
23,2012,0.12095,0.24577,0.12482,58,40,102,0.26045
24,2013,0.12439,0.22092,0.09653,58,40,102,0.26045
25,2014,0.1584,0.20726,0.04886,63,40,102,0.26045
26,2015,0.14919,0.19817,0.04898,63,40,102,0.26045
27,2016,0.14677,0.19134,0.04456,63,40,102,0.26045
28,2017,0.14764,0.2745,0.12686,63,35,102,0.26045
29,2018,0.14939,0.24608,0.09669,63,35,102,0.26045
30,2019,0.21953,0.23049,0.01096,35,35,102,0.26045
31,2020,0.19453,0.22038,0.02585,35,35,102,0.26045
32,2021,0.18226,0.21314,0.03088,35,35,102,0.26045
33,2022,0.1745,0.24387,0.06937,35,40,102,0.26045
34,2023,0.16955,0.219,0.04945,35,40,102,0.26045
