buffer_size,step,avg_confidence,active_hyp,memory_used
10,10,0.25604,48,10
10,20,0.22207,58,10
10,30,0.29144,44,10
10,40,0.29688,44,10
10,50,0.32951,38,10
10,60,0.31209,41,10
10,70,0.29462,44,10
10,80,0.29317,44,10
10,90,0.29166,44,10
10,100,0.31284,40,10
10,110,0.30356,42,10
10,120,0.29103,44,10
10,130,0.2917,44,10
10,140,0.29209,44,10
10,150,0.31514,40,10
10,160,0.30441,42,10
10,170,0.29302,44,10
10,180,0.29338,44,10
10,190,0.29316,44,10
25,10,0.25604,48,25
25,20,0.23003,58,25
25,30,0.29144,44,25
25,40,0.29688,44,25
25,50,0.31755,40,25
25,60,0.30598,42,25
25,70,0.29462,44,25
25,80,0.29317,44,25
25,90,0.29166,44,25
25,100,0.31944,39,25
25,110,0.30356,42,25
25,120,0.29103,44,25
25,130,0.2917,44,25
25,140,0.29209,44,25
25,150,0.31514,40,25
25,160,0.30441,42,25
25,170,0.29302,44,25
25,180,0.29338,44,25
25,190,0.29316,44,25
50,10,0.25604,48,50
50,20,0.23003,58,50
50,30,0.29312,46,50
50,40,0.3025,46,50
50,50,0.32556,42,50
50,60,0.31341,44,50
50,70,0.3016,46,50
50,80,0.29972,46,50
50,90,0.29806,46,50
50,100,0.31882,42,50
50,110,0.30979,44,50
50,120,0.29762,46,50
50,130,0.29826,46,50
50,140,0.29841,46,50
50,150,0.32714,41,50
50,160,0.31,44,50
50,170,0.29877,46,50
50,180,0.29911,46,50
50,190,0.29898,46,50
100,10,0.25604,48,100
100,20,0.23003,58,100
100,30,0.29312,46,100
100,40,0.3025,46,100
100,50,0.32556,42,100
100,60,0.31627,44,100
100,70,0.30629,46,100
100,80,0.30551,46,100
100,90,0.30457,46,100
100,100,0.32663,42,100
100,110,0.3169,44,100
100,120,0.30408,46,100
100,130,0.30453,46,100
100,140,0.30465,46,100
100,150,0.32727,42,100
100,160,0.31601,44,100
100,170,0.30426,46,100
100,180,0.30443,46,100
100,190,0.30404,46,100
200,10,0.25604,48,200
200,20,0.23003,58,200
200,30,0.29312,46,200
200,40,0.3025,46,200
200,50,0.33045,41,200
200,60,0.32233,43,200
200,70,0.30629,46,200
200,80,0.30551,46,200
200,90,0.30457,46,200
200,100,0.34049,40,200
200,110,0.31785,44,200
200,120,0.30592,46,200
200,130,0.3072,46,200
200,140,0.30806,46,200
200,150,0.33859,41,200
200,160,0.32118,44,200
200,170,0.30986,46,200
200,180,0.31048,46,200
200,190,0.31046,46,200
