country,n_years,ar1_mae,ar1_r2,scarcity_mae,scarcity_r2,scarcity_conf,scarcity_better
Kenya,8,nan,nan,nan,nan,0.17331,no
Kenya,12,nan,nan,nan,nan,0.15321,no
Kenya,16,nan,nan,nan,nan,0.1528,no
Kenya,20,nan,nan,nan,nan,0.10617,no
Kenya,25,nan,nan,nan,nan,0.13428,no
Kenya,30,nan,nan,nan,nan,0.15658,no
Kenya,34,nan,nan,nan,nan,0.1891,no
Tanzania,8,nan,nan,nan,nan,0.17741,no
Tanzania,12,nan,nan,nan,nan,0.15399,no
Tanzania,16,nan,nan,nan,nan,0.15291,no
Tanzania,20,nan,nan,nan,nan,0.1069,no
Tanzania,25,nan,nan,nan,nan,0.13478,no
Tanzania,30,nan,nan,nan,nan,0.15793,no
Tanzania,34,nan,nan,nan,nan,0.18303,no
Uganda,8,nan,nan,nan,nan,0.16641,no
Uganda,12,nan,nan,nan,nan,0.1484,no
Uganda,16,nan,nan,nan,nan,0.15331,no
Uganda,20,nan,nan,nan,nan,0.10747,no
Uganda,25,nan,nan,nan,nan,0.13585,no
Uganda,30,nan,nan,nan,nan,0.15889,no
Uganda,34,nan,nan,nan,nan,0.18761,no
