condition,year,variable,actual_delta,actual_dir,engine_dir,engine_match,ar1_dir,ar1_match
LOCAL (Kenya only),2010,gdp_growth,4.7515,1,,,1,True
LOCAL (Kenya only),2010,inflation,-5.2727,-1,,,-1,True
LOCAL (Kenya only),2010,unemployment,-0.023,-1,,,1,False
LOCAL (Kenya only),2010,exports_gdp,1.3494,1,1,True,-1,False
LOCAL (Kenya only),2010,imports_gdp,3.0997,1,1,True,-1,False
LOCAL (Kenya only),2010,current_account,-1.2294,-1,,,1,False
LOCAL (Kenya only),2010,govt_consumption,-0.6016,-1,,,-1,True
LOCAL (Kenya only),2010,real_interest_rate,22.623,1,,,-1,False
LOCAL (Kenya only),2010,broad_money,3.6369,1,1,True,-1,False
LOCAL (Kenya only),2010,private_credit,2.1118,1,,,-1,False
LOCAL (Kenya only),2010,urban_population,0.011,1,1,True,1,True
LOCAL (Kenya only),2010,life_expectancy,0.432,1,1,True,1,True
LOCAL (Kenya only),2010,internet_users,1.1,1,-1,False,1,True
LOCAL (Kenya only),2011,gdp_growth,-2.9374,-1,,,1,False
LOCAL (Kenya only),2011,inflation,10.0611,1,1,True,-1,False
LOCAL (Kenya only),2011,unemployment,-0.094,-1,1,False,-1,True
LOCAL (Kenya only),2011,exports_gdp,1.4251,1,1,True,1,True
LOCAL (Kenya only),2011,imports_gdp,6.5828,1,-1,False,1,True
LOCAL (Kenya only),2011,current_account,-2.9321,-1,,,-1,True
LOCAL (Kenya only),2011,govt_consumption,-0.2683,-1,,,-1,True
LOCAL (Kenya only),2011,real_interest_rate,-8.0008,-1,-1,True,1,False
LOCAL (Kenya only),2011,broad_money,1.059,1,-1,False,1,True
LOCAL (Kenya only),2011,private_credit,3.3793,1,,,1,True
LOCAL (Kenya only),2011,urban_population,-0.0039,-1,1,False,1,False
LOCAL (Kenya only),2011,life_expectancy,0.368,1,-1,False,1,True
LOCAL (Kenya only),2011,internet_users,1.6,1,-1,False,1,True
LOCAL (Kenya only),2012,gdp_growth,-0.5524,-1,1,False,-1,True
LOCAL (Kenya only),2012,inflation,-4.6447,-1,-1,True,1,False
LOCAL (Kenya only),2012,unemployment,-0.021,-1,1,False,-1,True
LOCAL (Kenya only),2012,exports_gdp,-1.6845,-1,1,False,1,False
LOCAL (Kenya only),2012,imports_gdp,-5.094,-1,-1,True,1,False
LOCAL (Kenya only),2012,current_account,0.6729,1,1,True,-1,False
LOCAL (Kenya only),2012,govt_consumption,-0.4133,-1,,,-1,True
LOCAL (Kenya only),2012,real_interest_rate,4.7873,1,1,True,-1,False
LOCAL (Kenya only),2012,broad_money,-0.0429,-1,-1,True,1,False
LOCAL (Kenya only),2012,private_credit,-0.9637,-1,,,1,False
LOCAL (Kenya only),2012,urban_population,-0.0116,-1,1,False,-1,True
LOCAL (Kenya only),2012,life_expectancy,0.254,1,-1,False,1,True
LOCAL (Kenya only),2012,internet_users,1.7,1,-1,False,1,True
LOCAL (Kenya only),2013,gdp_growth,-0.7708,-1,1,False,-1,True
LOCAL (Kenya only),2013,inflation,-3.6603,-1,1,False,-1,True
LOCAL (Kenya only),2013,unemployment,0.084,1,1,True,-1,False
LOCAL (Kenya only),2013,exports_gdp,-2.0728,-1,1,False,-1,True
LOCAL (Kenya only),2013,imports_gdp,-2.0863,-1,-1,True,-1,True
LOCAL (Kenya only),2013,current_account,-0.3757,-1,1,False,1,False
LOCAL (Kenya only),2013,govt_consumption,-0.4288,-1,1,False,-1,True
LOCAL (Kenya only),2013,real_interest_rate,-0.0196,-1,-1,True,1,False
LOCAL (Kenya only),2013,broad_money,1.2669,1,-1,False,-1,False
LOCAL (Kenya only),2013,private_credit,1.9299,1,,,-1,False
LOCAL (Kenya only),2013,urban_population,-0.0234,-1,1,False,-1,True
LOCAL (Kenya only),2013,life_expectancy,0.192,1,-1,False,1,True
LOCAL (Kenya only),2013,internet_users,2.5,1,-1,False,1,True
LOCAL (Kenya only),2014,gdp_growth,1.2223,1,1,True,-1,False
LOCAL (Kenya only),2014,inflation,1.1607,1,1,True,-1,False
LOCAL (Kenya only),2014,unemployment,0.005,1,1,True,1,True
LOCAL (Kenya only),2014,exports_gdp,-1.3194,-1,1,False,-1,True
LOCAL (Kenya only),2014,imports_gdp,0.0252,1,-1,False,-1,False
LOCAL (Kenya only),2014,current_account,-1.4885,-1,1,False,-1,True
LOCAL (Kenya only),2014,govt_consumption,-0.1001,-1,1,False,-1,True
LOCAL (Kenya only),2014,real_interest_rate,-1.0449,-1,-1,True,-1,True
LOCAL (Kenya only),2014,broad_money,4.5079,1,-1,False,1,True
LOCAL (Kenya only),2014,private_credit,6.1899,1,,,1,True
LOCAL (Kenya only),2014,urban_population,-0.0393,-1,-1,True,-1,True
LOCAL (Kenya only),2014,life_expectancy,0.261,1,-1,False,1,True
LOCAL (Kenya only),2014,internet_users,3.5,1,-1,False,1,True
LOCAL (Kenya only),2015,gdp_growth,-0.0524,-1,-1,True,1,False
LOCAL (Kenya only),2015,inflation,-0.296,-1,1,False,1,False
LOCAL (Kenya only),2015,unemployment,-0.005,-1,-1,True,1,False
LOCAL (Kenya only),2015,exports_gdp,-1.3441,-1,1,False,-1,True
LOCAL (Kenya only),2015,imports_gdp,-4.499,-1,-1,True,1,False
LOCAL (Kenya only),2015,current_account,3.0355,1,1,True,-1,False
LOCAL (Kenya only),2015,govt_consumption,0.9842,1,1,True,-1,False
