step,variable,baseline,shocked,delta,delta_pct,shock_id,shock_label
1,current_account,-1.2733,-1.278,-0.0047,-0.37,S1_electricity,Electricity access +20 pp
1,dom_credit_pvt,15.9028,15.8544,-0.0484,-0.3,S1_electricity,Electricity access +20 pp
1,fdi_inflows,0.2367,0.2366,-0.0001,-0.04,S1_electricity,Electricity access +20 pp
1,gdp_growth,2.8542,2.8646,0.0104,0.37,S1_electricity,Electricity access +20 pp
1,gdp_per_capita,909.5099,906.038,-3.4719,-0.38,S1_electricity,Electricity access +20 pp
1,gdp_usd,53482399924.318,53895439044.6995,413039120.3815,0.77,S1_electricity,Electricity access +20 pp
1,gov_expense_gdp,13.9131,13.8618,-0.0513,-0.37,S1_electricity,Electricity access +20 pp
1,inflation_cpi,3.841,3.8521,0.0111,0.29,S1_electricity,Electricity access +20 pp
1,inflation_deflator,2.7093,2.7061,-0.0032,-0.12,S1_electricity,Electricity access +20 pp
1,labor_force_part,33.3326,33.5393,0.2067,0.62,S1_electricity,Electricity access +20 pp
1,military_exp_gdp,0.4854,0.4883,0.0029,0.59,S1_electricity,Electricity access +20 pp
1,money_broad_gdp,20.1093,20.1734,0.064,0.32,S1_electricity,Electricity access +20 pp
1,real_interest_rate,3.8776,3.8588,-0.0188,-0.49,S1_electricity,Electricity access +20 pp
1,tax_revenue_gdp,7.0592,7.0126,-0.0466,-0.66,S1_electricity,Electricity access +20 pp
1,trade_gdp,20.6421,20.4769,-0.1651,-0.8,S1_electricity,Electricity access +20 pp
1,unemployment,2.7971,2.7754,-0.0217,-0.78,S1_electricity,Electricity access +20 pp
1,urban_pop_growth,1.3114,1.3155,0.0041,0.32,S1_electricity,Electricity access +20 pp
2,current_account,-0.6397,-0.639,0.0006,0.1,S1_electricity,Electricity access +20 pp
2,dom_credit_pvt,7.9558,7.9344,-0.0214,-0.27,S1_electricity,Electricity access +20 pp
2,fdi_inflows,0.1184,0.118,-0.0004,-0.34,S1_electricity,Electricity access +20 pp
2,gdp_growth,1.4314,1.4296,-0.0017,-0.12,S1_electricity,Electricity access +20 pp
2,gdp_per_capita,452.7153,454.2133,1.498,0.33,S1_electricity,Electricity access +20 pp
2,gdp_usd,26762018585.6223,26870627973.8147,108609388.1924,0.41,S1_electricity,Electricity access +20 pp
2,gov_debt_gdp,0.0,-0.0002,-0.0002,-3102.1,S1_electricity,Electricity access +20 pp
2,gov_expense_gdp,6.9602,6.9535,-0.0066,-0.09,S1_electricity,Electricity access +20 pp
2,inflation_cpi,1.9296,1.9188,-0.0108,-0.56,S1_electricity,Electricity access +20 pp
2,inflation_deflator,1.3522,1.3532,0.001,0.07,S1_electricity,Electricity access +20 pp
2,labor_force_part,16.5942,16.7698,0.1756,1.06,S1_electricity,Electricity access +20 pp
2,military_exp_gdp,0.2431,0.2449,0.0018,0.73,S1_electricity,Electricity access +20 pp
2,money_broad_gdp,10.0778,10.095,0.0173,0.17,S1_electricity,Electricity access +20 pp
2,real_interest_rate,1.942,1.9347,-0.0073,-0.38,S1_electricity,Electricity access +20 pp
2,tax_revenue_gdp,3.5195,3.5202,0.0006,0.02,S1_electricity,Electricity access +20 pp
