date,county_id,county_name,contamination_index,cholera_cases,health_facility_capacity,road_accessibility_score,security_incident_rate,health_worker_obstruction,displaced_population,displacement_direction_county_id,market_activity_index,food_price_index,misinformation_signal
2024-03-01,0,Mombasa,0.2177,1,0.8288,0.8557,0,0.0,0,0,0.8109,0.9727,0.0264
2024-03-01,1,Kwale,0.5402,2,0.5895,0.4016,1,0.0,0,1,0.5564,1.0471,0.0978
2024-03-01,2,Kilifi,0.3178,4,0.54,0.3588,2,0.0,0,2,0.4963,1.0183,0.1168
2024-03-01,3,Tana River,0.4412,3,0.5111,0.2939,2,0.0,0,3,0.5068,0.963,0.0427
2024-03-01,4,Lamu,0.384,2,0.5311,0.5665,2,0.0,0,4,0.6601,0.9812,0.1005
2024-03-01,5,Taita-Taveta,0.2947,4,0.4865,0.5865,2,0.0,0,5,0.4919,0.97,0.0987
2024-03-01,6,Garissa,0.95,597,0.6115,0.2561,0,0.0,0,6,0.5877,1.0069,0.0315
2024-03-01,7,Wajir,0.5985,2,0.5413,0.233,1,0.0,0,7,0.6795,1.0135,0.0759
2024-03-01,8,Mandera,0.5097,4,0.4092,0.1673,2,0.0,0,8,0.5144,0.9909,0.0434
2024-03-01,9,Marsabit,0.4187,2,0.4844,0.1587,2,0.0,0,9,0.6486,1.0057,0.0864
2024-03-01,10,Isiolo,0.4505,3,0.6442,0.2534,2,0.0,0,10,0.4568,0.959,0.0662
2024-03-01,11,Meru,0.1976,0,0.5503,0.5805,1,0.0,0,11,0.6589,0.9946,0.0502
2024-03-01,12,Tharaka-Nithi,0.3008,1,0.5085,0.5175,2,0.0,0,12,0.4854,1.0462,0.09
2024-03-01,13,Embu,0.2304,3,0.6908,0.6758,0,0.0,0,13,0.6651,0.9949,0.0296
2024-03-01,14,Kitui,0.5338,2,0.5367,0.3205,0,0.0,0,14,0.5418,1.0079,0.1057
2024-03-01,15,Machakos,0.3214,0,0.6158,0.5864,1,0.0,0,15,0.6382,1.0084,0.0284
2024-03-01,16,Makueni,0.3665,3,0.4125,0.4488,0,0.0,0,16,0.549,0.9645,0.0788
