
record_type,id,date_start,date_end,geo,title,summary,actors,trigger_topics,instrument,amount,currency,meta,source_refs,casualty_join_key
incident,inc001,2000-05-14,,Nairobi slum (likely Kariobangi/Buru Buru),Police dispersal of Mungiki prayer gathering,"Police forcibly dispersed a prayer gathering of hundreds of Mungiki members in a Nairobi slum a week after President Moi ordered a crackdown. Police used force, including rubber bullets and live ammunition, injuring dozens and arresting 23 attendees.",Police vs Mungiki religious group,"religious gathering, crackdown",,,,"{""event_family"": ""crackdown"", ""subtype"": ""police dispersal"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": 23, ""property_damage"": ""low""}, ""crowd_est"": null, ""election_cycle"": null}",['https://www.refworld.org/reference/annualreport/usdos/2000/en/22440#:~:text=act%20that%20hospital%20authorities%20strongly,by%20throwing%20stones%20at%20the'],
incident,inc002,2002-03-01,2002-03-31,"Kariobangi, Nairobi County",Vigilante gangs kill at least 25 people in Kariobangi,Vigilante gangs linked to ethnic groups and politicians killed at least 25 people in the Kariobangi area. Police arrested 31 suspects but did not prosecute them.,Vigilante gangs vs residents; police responders,"vigilantism, ethnic violence",,,,"{""event_family"": ""violence"", ""subtype"": ""vigilante killings"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": 31, ""property_damage"": ""medium""}, ""crowd_est"": null, ""election_cycle"": null}",['https://www.hrw.org/legacy/wr2k3/africa6.html#:~:text=In%20Nairobi%2C%20the%20capital%2C%20violence,demonstration%20in%20Nairobi%20in%20support'],
incident,inc003,2005-11-21,2005-11-21,"Kibera, Nairobi County",Clashes during 2005 constitutional referendum campaign,"During the campaign leading up to the November 2005 constitutional referendum, clashes between supporters and security forces turned violent. At least seven people were killed and hundreds of people chased riot police from Nairobi’s Kibera slum and attacked a truck driver suspected of ballot box fraud.",Protesters vs police,"constitution referendum, protest",,,,"{""event_family"": ""riot"", ""subtype"": ""pre-referendum violence"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": null, ""property_damage"": ""high""}, ""crowd_est"": null, ""election_cycle"": 2005}",['https://www.theguardian.com/world/2005/nov/22/kenya.davidfickling#:~:text=Share'],
incident,inc004,2007-12-27,2008-02-28,Kenya (nationwide),Post-election violence following 2007 presidential election,"After the disputed December 27, 2007 presidential election, protests and ethnic attacks broke out across Kenya. Government banned public gatherings and police used live ammunition to disperse demonstrators. Over 1,000 people were killed and up to 500,000 displaced.",Opposition supporters vs security forces and rival ethnic groups,"election dispute, political violence",,,,"{""event_family"": ""violence"", ""subtype"": ""post-election violence"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": null, ""property_damage"": ""high""}, ""crowd_est"": null, ""election_cycle"": 2007}",['https://www.hrw.org/report/2008/03/17/ballots-bullets/organized-political-violence-and-kenyas-crisis-governance#:~:text=The%20scale%20and%20speed%20of,stability%20in%20a%20volatile%20region'],
incident,inc005,2009-10-07,2009-10-07,"Nairobi, Kenya",Police break up constitutional reform protest,Police in Nairobi used tear gas and water cannons to break up a peaceful protest by several hundred demonstrators demanding a referendum on constitutional reforms. President Kibaki said reforms would be put to a referendum only after parliament amended them.,Protesters vs police,"constitutional reform, protest",,,,"{""event_family"": ""crackdown"", ""subtype"": ""protest breakup"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": null, ""property_damage"": ""low""}, ""crowd_est"": null, ""election_cycle"": null}",['https://www.voanews.com/a/a-13-2005-03-16-voa36-67382392/274856.html#:~:text=Kenyan%20police%20have%20fired%20tear,protest%20calling%20for%20constitutional%20reform'],
shock,shk006,2011-06-01,2011-12-31,Kenya (arid and semi‑arid regions),2011 East African drought,"A prolonged drought across East Africa caused severe food shortages and high food prices. The World Food Programme estimated that 3.5 million people in Kenya needed food assistance, warning that the crisis was the worst in decades.",,"drought, food crisis",,,,"{""severity"": ""high"", ""impact"": ""millions needing aid""}",['https://news.mongabay.com/2011/06/worst-drought-in-60-years-brings-starvation-fears-to-east-africa/#:~:text=A%20prolonged%20drought%20in%20East,as%20the%20world%20grows%20warmer'],
policy,pol007,2011-12-02,,Kenya,Central Bank raises benchmark rate to 18%,The Central Bank of Kenya raised its benchmark lending rate by 150 basis points to 18% to tackle inflation and stabilize the shilling. Governor Njuguna Ndung’u said supply shocks and exchange rate risks drove the decision.,,"monetary policy, inflation",interest rate,,,"{""policy_type"": ""monetary"", ""rate_change"": ""increase"", ""previous_rate"": ""16.5%"", ""new_rate"": ""18%""}",['https://www.centralbanknews.info/2011/12/central-bank-of-kenya-hikes-rate-150bps.html#:~:text=Central%20Bank%20of%20Kenya%20Hikes,00'],
shock,shk008,2013-09-21,2013-09-24,"Nairobi, Kenya",Westgate Mall terrorist attack,"Militants from Somalia-based group al-Shabaab attacked Nairobi’s Westgate shopping mall, killing civilians and taking hostages. Kenyan security forces battled the attackers during a multi-day siege.",,"terrorism, security",,,,"{""severity"": ""high"", ""attackers"": ""al-Shabaab""}",['https://news.harvard.edu/gazette/story/2013/09/killings-in-nairobi-hits-home/#:~:text=The%20Nairobi%20attack%20by%20militants,faceoff%20with%20Kenyan%20security%20forces'],
incident,inc009,2017-08-12,2017-09-01,Nairobi and western Kenya,Police crackdown on post-election protests,"After the August 2017 presidential election, police cracked down on opposition supporters protesting alleged election fraud. Rights groups reported that at least 33 people were killed in Nairobi, including children and a pregnant woman. The government banned demonstrations in major cities.",Police vs opposition supporters,"election dispute, protest",,,,"{""event_family"": ""crackdown"", ""subtype"": ""police violence"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": null, ""property_damage"": ""medium""}, ""crowd_est"": null, ""election_cycle"": 2017}",['file:///home/oai/redirect.html#:~:text=NAIROBI%20%28Reuters%29%20,Rights%20Watch%20said%20on%20Monday'],
shock,shk010,2020-01-01,2020-12-31,Kenya (national),Desert locust infestation,Kenya experienced its worst outbreak of desert locusts in 70 years. Swarms of locusts threatened crops and pasture; the UN warned that numbers could grow 500-fold with the rains and appealed for $70 million for aerial pesticide spraying.,,"locust infestation, food security",,,,"{""severity"": ""high"", ""UN appeal"": ""US$70\u00a0million""}",['https://www.theguardian.com/world/2020/jan/26/kenya-suffers-worst-locust-infestation-in-70-years-as-millions-of-insects-swarm-farmland#:~:text=The%20worst%20outbreak%20of%20desert,vulnerable%20region%20with%20devastating%20hunger'],
incident,inc011,2023-07-07,2023-07-07,Nairobi and several towns,Anti-tax hike protests and police crackdown,"Opposition leader Raila Odinga organised protests against new tax hikes. Police fired tear gas and fought running battles with protesters in major towns. A coalition of human rights groups reported that police arrested 17 protesters in Nairobi and 11 in other towns, with protesters dragged on the ground.",Protesters vs police,"tax hikes, cost of living, protest",,,,"{""event_family"": ""protest"", ""subtype"": ""anti-tax protest"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": 28, ""property_damage"": ""low""}, ""crowd_est"": null, ""election_cycle"": null}",['https://www.reuters.com/world/africa/kenyan-police-fire-teargas-stop-protests-over-tax-hikes-2023-07-07/#:~:text=NAIROBI%2C%20July%207%20%28Reuters%29%20,a%20raft%20of%20tax%20hikes'],
incident,inc012,2024-06-20,2024-06-21,Kenya (nationwide),Anti-Finance Bill protests with casualties,"Nationwide protests erupted against the government’s Finance Bill, which sought to raise US$2.7 billion in additional taxes. Rights groups reported that one person was killed and at least 200 injured. Police fired tear gas and water cannons, and more than 100 protesters were arrested across Kenya.",Protesters vs police,"finance bill, tax hike, protest",,,,"{""event_family"": ""protest"", ""subtype"": ""anti-tax protest"", ""severity"": {""fatalities"": null, ""injuries_est"": 200, ""arrests_est"": 100, ""property_damage"": ""medium""}, ""crowd_est"": null, ""election_cycle"": null}",['https://www.reuters.com/world/africa/over-200-injured-100-arrested-kenya-tax-protests-rights-groups-2024-06-21/#:~:text=NAIROBI%2C%20June%2021%20%28Reuters%29%20,and%20the%20police%20watchdog%20said'],
contribution,ctr013,2024-01-17,,Kenya,IMF board approves $941 million lending boost,"The International Monetary Fund’s executive board approved nearly $1 billion in new funding for Kenya under its existing program, including an immediate disbursement of about $624.5 million to ease fiscal pressures.",,"IMF loan, fiscal pressure",loan,941000000.0,USD,"{""contributor"": ""International Monetary Fund"", ""recipient"": ""Kenya government""}",['https://www.reuters.com/world/africa/over-200-injured-100-arrested-kenya-tax-protests-rights-groups-2024-06-21/#:~:text=Protesters%20want%20the%20government%20to,struggling%20to%20make%20ends%20meet'],
