
record_type,id,date_start,date_end,geo,title,summary,actors,trigger_topics,instrument,amount,currency,meta,source_refs,casualty_join_key
incident,incident_2001_kibera,2001-12-01,,"Nairobi County, Kibera slum",Kibera police rampage,"Police went on a rampage in Nairobi’s Kibera slum, raping, beating, looting and destroying property, causing thousands of residents to flee",Kenya police vs Kibera residents,"police brutality, election tensions",,,,"{""event_family"": ""violence"", ""subtype"": ""police use of force"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": null, ""property_damage"": ""med""}, ""crowd_est"": null, ""election_cycle"": 2002}",['https://www.hrw.org/legacy/wr2k3/africa6.html#:~:text=In%20Nairobi%2C%20the%20capital%2C%20violence,and%20ordered%20no%20independent%20inquiry'],
incident,incident_2002_kariobangi,2002-03-01,,"Nairobi County, Kariobangi",Kariobangi vigilante violence,"In Kariobangi, vigilante gangs allied to ethnic groups and politicians killed residents; police made arrests but prosecutions did not follow.",Vigilante gangs vs residents; police,"ethnic violence, vigilante",,,,"{""event_family"": ""violence"", ""subtype"": ""vigilante attack"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": null, ""property_damage"": ""med""}, ""crowd_est"": null, ""election_cycle"": 2002}",['https://www.hrw.org/legacy/wr2k3/africa6.html#:~:text=In%20Nairobi%2C%20the%20capital%2C%20violence,rampage%2C%20raping%2C%20beating%2C%20looting%20and'],
shock,shock_2003_imf_freeze,2000-12-01,2003-11-22,,IMF lending suspension and resumption,The IMF suspended lending to Kenya due to corruption concerns in late 2000 and resumed lending in November 2003 under the Poverty Reduction and Growth Facility.,,"corruption, international finance",,,,"{""shock_type"": ""financial"", ""severity"": ""medium""}",['https://www.aljazeera.com/news/2003/11/22/imf-ends-kenya-freeze#:~:text=The%20IMF%20suspended%20lending%20to,former%20ruler%20Daniel%20arap%20Moi'],
contribution,contribution_2003_imf_prgf,2003-11-22,,,IMF PRGF loan to Kenya,"The IMF approved a loan of about $252.75 million under its Poverty Reduction and Growth Facility, allowing Kenya to draw $36.11 million immediately. Conditions included freezing civil-service wages and retrenching 45,000 workers.",,"loan, IMF conditionality",loan,252750000.0,USD,"{""contributor"": ""IMF"", ""recipient"": ""Kenya"", ""immediate_draw"": ""36.11e6"", ""conditions"": [""freeze wages"", ""retrenched 45,000 workers""]}",['https://www.aljazeera.com/news/2003/11/22/imf-ends-kenya-freeze#:~:text=The%20IMF%20suspended%20lending%20to,former%20ruler%20Daniel%20arap%20Moi'],
incident,incident_2005_referendum_rallies,2005-11-21,,Nairobi County,Violent rallies around constitutional referendum,Violent rallies and clashes leading up to the 21 November 2005 constitutional referendum resulted in several deaths; supporters of the “no” campaign celebrated after early results showed they were winning.,Supporters of Yes vs No campaigns; police,"constitutional reform, election campaign",,,,"{""event_family"": ""riot"", ""subtype"": ""violent protest"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": null, ""property_damage"": ""low""}, ""crowd_est"": null, ""election_cycle"": 2007}","['https://www.theguardian.com/world/2005/nov/22/kenya.davidfickling#:~:text=Share', 'https://www.theguardian.com/world/2005/nov/22/kenya.davidfickling#:~:text=At%20least%20seven%20people%20were,leading%20up%20to%20yesterday%27s%20vote']",
allocation,allocation_2000_budget,2000-07-01,2001-06-30,,Kenya FY2000/01 national budget,"Kenya’s 2000/2001 budget estimated total spending of Ksh 266.2 billion, with 94 % (Ksh 250.906 billion) for recurrent expenditures and only 6 % (Ksh 15.306 billion) for development. Debt service consumed about 41 % (Ksh 109.9 billion), while salaries, operations and maintenance accounted for 53 %.",,"budget, debt service",spend,266200000000.0,KES,"{""fiscal_year"": ""2000/01"", ""debt_service"": ""109.9e9"", ""development"": ""15.306e9""}",['file:///home/oai/redirect.html#:~:text=This%20financial%20year%2C%20the%20government,9%20billion%29%20goes%20toward%20debt'],
incident,incident_2009_constitution_protest,2009-10-28,,"Nairobi County, Parliament building",Police break up peaceful constitutional reform protest,Police fired tear gas and water cannons to disperse several hundred protesters who marched on parliament demanding a referendum on constitutional reform.,Pro-reform protesters vs police,"constitutional reform, police use of force",,,,"{""event_family"": ""crackdown"", ""subtype"": ""police dispersal of protest"", ""severity"": {""fatalities"": null, ""injuries_est"": null, ""arrests_est"": null, ""property_damage"": ""low""}, ""crowd_est"": ""hundreds"", ""election_cycle"": null}",['https://www.voanews.com/a/a-13-2005-03-16-voa36-67382392/274856.html#:~:text=Print'],
link,shock_2003_imf_freeze->incident_2005_referendum_rallies,,,,Economic hardship and political unrest linkage,"The suspension of IMF lending and conditions of the resumed PRGF loan aggravated economic hardships that fuelled public dissatisfaction, contributing to protests during the 2005 constitutional referendum.",,,,,,"{""source_type"": ""shock"", ""source_id"": ""shock_2003_imf_freeze"", ""target_type"": ""incident"", ""target_id"": ""incident_2005_referendum_rallies"", ""relation"": ""amplified"", ""mechanism_note"": ""Economic austerity and structural-adjustment conditions reduced livelihoods, heightening public grievances that manifested in protests during the referendum."", ""confidence"": 0.3, ""evidence_refs"": [""\u3010696902548373840\u2020L82-L120\u3011"", ""\u301046168072966761\u2020L156-L170\u3011""]}","['https://www.aljazeera.com/news/2003/11/22/imf-ends-kenya-freeze#:~:text=The%20IMF%20suspended%20lending%20to,former%20ruler%20Daniel%20arap%20Moi', 'https://www.theguardian.com/world/2005/nov/22/kenya.davidfickling#:~:text=Share']",
informal_indicator,KE_INF_IND_2000_2010_informal_employment_share,2000-01-01,2010-12-31,Kenya (national),Informal employment share (2000–2010),"The share of informal employment in total non-agricultural employment in Kenya rose to about 70% in the early 2000s, reflecting the dominance of informal work and limited formal job creation.",,"informal_employment,employment_share",,,,"{""indicator_name"": ""share of non-agricultural employment in informal sector"", ""value"": 70.1, ""unit"": ""percent"", ""direction"": ""up"", ""population_group"": ""workers"", ""data_source_type"": ""report"", ""data_granularity"": ""multi-year""}",['www.wiego.org/wp-content/uploads/2019/09/Charmes_IE.SubSaharan.Africa.pdf#:~:text=than%2080%25%20of%20total%20non,and%20by%20country%20and%20region'],
informal_indicator,KE_INF_IND_2010_2021_informal_employment_share,2010-01-01,2021-12-31,Kenya (national),Informal employment share (2010–2021),"Labour market statistics indicate that by 2021 the informal economy accounted for roughly 83% of total employment in Kenya, continuing an upward trend in informal labour.",,"informal_employment,employment_share",,,,"{""indicator_name"": ""informal employment ratio"", ""value"": 83, ""unit"": ""percent"", ""direction"": ""up"", ""population_group"": ""workers"", ""data_source_type"": ""survey"", ""data_granularity"": ""multi-year""}",['www.ulandssekretariatet.dk/wp-content/uploads/2022/12/Kenya-LMP-2022-final.pdf#:~:text=the%20formal%20,2010%20to%202021%2C%20reaching%2083'],
