Name,User ID,Followers,Followed,Tweets,Listed Count,Favourites Count,Media Count,Verified,Joined Twitter Date (UTC),Location,Description,Tweeted Search Term?,Pinned Tweet ID,URL,Is Blue Verified,LABEL
A BADDIE LIKE MILLIE😉,9.37E+17,589,424,10539,0,68905,80,FALSE,12/1/2017 18:40,,Gooner 🔴⚪,Yes,,,FALSE,0
WILLIE OEBA,2223128873,23553,18697,69899,18,70446,6147,FALSE,12/13/2013 9:54,Nairobi.kenya,Ford Global Fellow Class of 2024🇺🇲 || East Africa Spoken Word King '18 || Human Rights Defender of the Year '21 || Blaze Winner '17 | Lyricist || 3 Albums,Yes,1.80E+18,https://t.co/jQO6Mzfix1,FALSE,1
Gabriel Oguda,1.51E+18,18803,58,69694,8,69438,4197,FALSE,4/15/2022 10:43,,Not Affiliated with Gabriel Oguda||Blogger||DM with any breaking news,Yes,,,FALSE,0
💌,1.58E+18,821,322,42133,1,42510,4270,FALSE,10/24/2022 14:21,,digital wanker 🇰🇪,Yes,1.81E+18,,FALSE,0
Enos,1.45E+18,64,202,2402,1,19527,0,FALSE,10/28/2021 17:56,,,Yes,,,FALSE,0
gids,287120442,46844,3429,280209,43,13252,11104,FALSE,4/24/2011 10:49,"Lisbon, Portugal",,Yes,1.80E+18,,TRUE,0
Carol Radull,339789356,1073829,6810,78425,319,20505,25028,FALSE,7/21/2011 17:20,"Nairobi, Kenya",Sports @RadullLive #CancerSoldier #COYG Ig @carolradull @RadullLive https://t.co/6x3dtJCJqu,Yes,,https://t.co/C2cgq057YR,TRUE,0
stevo Ignatius,3155611990,331,1019,76881,4,6661,0,FALSE,4/11/2015 8:41,,,Yes,,,FALSE,0
Baba Makena 3/5 🕊️,1.55E+18,2983,921,42433,5,2369,2344,FALSE,7/15/2022 17:33,,This tweeter only tweets when drunk.,Yes,1.79E+18,,FALSE,1
Maurice Mwangi,1.77E+18,2,8,4,0,4,0,FALSE,3/29/2024 15:52,,,Yes,,,FALSE,0
KESH,1.38E+18,112159,1108,156546,63,160386,2454,FALSE,4/21/2021 7:55,Kwetu pazuri,Haaland💙 KDB💙 @Mancity 💙💙,Yes,,https://t.co/Sk5FOgUTf6,TRUE,0
oppenheimer,8.93E+17,696,4999,47141,1,62766,80,FALSE,8/4/2017 12:59,,and secondably...,Yes,,,FALSE,0
Lennox Omondi,1.20E+18,9539,562,6026,8,2219,706,FALSE,11/28/2019 16:32,Nairobi,I kill bugs,Yes,,https://t.co/EHjhr8sEQr,FALSE,0
