account_id,account_type,account_age_days,followers_count,following_count,baseline_post_rate,network_cluster_id,risk_band,language_mix_ratio,home_county,primary_device,escalation_velocity,escalation_acceleration
658df599-a93a-4beb-ba07-d002347fffba,Individual,343,76,554,0.8899863008405067,14,Low,0.618607530492636,Nairobi,Twitter for iPhone,0.0,0.0
d9a0629a-013a-4518-805c-d4855cb1182d,Individual,1305,168,238,0.9585112746335845,80,Low,0.9025159779864478,Mombasa,Twitter for iPhone,0.0,0.0
fce6126c-810f-4500-84d4-e243de3549ce,Individual,691,212,192,1.4159046082342293,88,Low,0.7582342954533831,Nairobi,Twitter for Android,0.0,0.0
8cc98bad-7caa-4cbe-b776-e23991d003d7,Individual,656,484,240,0.9263103092182288,86,Low,0.4327478644229819,Nyeri,Twitter for Android,0.0,0.0
85ceca8a-1258-47ef-b957-651a511393ba,Individual,96,181,401,2.7733010051969553,54,Low,0.8473196668199093,Nairobi,Twitter for Android,0.0,0.0
8b34cdbb-43e8-4d3b-a46a-a326cc246e42,Individual,578,560,974,2.804685587557792,23,Low,0.53789069824926,Nairobi,Twitter for Android,0.0,0.0
25436942-2f46-40e6-90b0-5d2f1ff12fdf,Bot,1289,22,633,31.70784332632994,13,High,0.635354542418434,Nairobi,Sprout Social,0.0,0.0
4b801c3c-9d61-4bca-91d1-81eea2701b96,Bot,1081,11,110,42.618457138193364,12,Low,0.5154030943591819,Kiambu,Twitter Web App,0.0,0.0
136934aa-0ef3-47b4-8590-6ecff03f6437,Individual,325,42,1211,0.6588958757150591,40,Low,0.5247472064775988,Bomet,Twitter for Android,0.0,0.0
b0f335ee-87a2-40a3-9076-cb1597d0c567,Individual,1594,85,373,2.2831119680574874,69,Low,0.3239664412768864,Nairobi,Twitter for Android,0.0,0.0
f453a542-887a-4f34-90a3-98b692896694,Individual,540,221,379,0.7697285674832611,100,Medium,0.5763284013658531,Nakuru,Twitter for Android,0.0,0.0
761de99f-f70d-403f-8a04-4442c0f933ff,Individual,1739,180,90,2.3888778463576217,42,Low,0.42893773821903497,Nairobi,Twitter for Android,0.0,0.0
3c3ce8d7-2f59-4c91-9664-aa8130b0b150,Individual,733,593,552,0.9664251472150895,18,Low,0.35539474515981556,Nairobi,Twitter for Android,0.0,0.0
cc1aeed8-97f9-4fd0-919b-b8a07dbff4e7,Individual,280,274,279,1.5677694715656407,83,Medium,0.5063343496295459,Nairobi,Twitter for Android,0.0,0.0
d6f95fcd-d295-4947-ad6a-288f73818f83,Individual,395,222,302,1.3440379285090698,93,Low,0.3952464769915693,Nairobi,Twitter for Android,0.0,0.0
bf0f4e07-b1a5-465a-ad28-3fdeee930ee7,Bot,330,178,1928,20.071291833014566,13,Low,0.11593449875168234,Nairobi,Twitter for Android,0.0,0.0
e7c368a1-7795-4200-af07-88a517100421,Individual,687,150,405,1.1966161605915286,22,Low,0.4066672141999295,Nyeri,Twitter for iPhone,0.0,0.0
087a379e-64ae-407f-91b0-62985d04c69c,Bot,3099,13,1377,40.4647846131487,13,Low,0.7958279675454216,Nairobi,Hootsuite,0.0,0.0
040d2ed2-6aab-4314-877f-87608f1f4750,Individual,733,107,435,2.588256238973095,81,Medium,0.39845175637842106,Nairobi,Twitter for Android,0.0,0.0
3578fb95-c73c-4f7a-890b-ca32301a3d82,Individual,827,409,279,1.0662394379948448,79,Low,0.2128407871277892,Kisumu,Twitter for Android,0.0,0.0
5e81dea0-8949-4566-b320-8afceb8fd4a2,Individual,2016,225,166,0.7836838031014727,69,Low,0.8480405433381658,Uasin Gishu,Twitter for Android,0.0,0.0
ac86f0d5-2a6f-480c-add3-4cbdad6b34a0,Individual,551,247,328,2.7430393948833167,24,Medium,0.41173746713706805,Nairobi,Twitter for Android,0.0,0.0
1386f3df-0501-4be4-8f5a-375adcfeae0d,Individual,945,1018,1362,0.710349912487622,31,Low,0.6964589982602788,Kisumu,Twitter for Android,0.0,0.0
545ee30d-4671-466c-847d-bbd950635e80,Individual,581,1946,1517,1.0606732736513995,73,Low,0.1939234406739955,Turkana,Twitter for Android,0.0,0.0
1825c847-3778-42ba-b532-9ad38f72f456,Individual,766,762,1033,1.920771508338679,41,Medium,0.6113367863832901,Garissa,Twitter for Android,0.0,0.0
7221744b-0d26-4812-80ac-6a6134b77efc,Bot,2637,24,1794,35.245545039890516,18,Low,0.27969737062888184,Kisumu,Twitter for Android,0.0,0.0
7c6c078c-08bb-49f7-9af1-6a93178cdf78,Individual,159,95,1071,0.5607899160786346,81,Low,0.2102880233199519,Kiambu,Twitter for Android,0.0,0.0
5589ae6c-12f0-4ea8-94b7-3bd1c0348d7b,Organization,1799,7157,483,4.854479908357011,99,Low,0.779874158696403,Nairobi,Twitter Web App,0.0,0.0
50f98484-13cf-4a4a-a52e-6bfa04c7bf70,Individual,279,41,499,2.8403869354019524,96,Low,0.4044068898541056,Mombasa,Twitter for Android,0.0,0.0
90764107-67f5-4be3-85c1-0879c02710d3,Individual,3366,508,427,2.6934326798198884,19,Low,0.14320780373681777,Kiambu,Twitter for Android,0.0,0.0
5a1a1a30-0abb-4738-b157-07d4624cf8ac,Individual,254,1960,675,2.6676807964502594,91,Low,0.499784313840166,Nairobi,Twitter for iPad,0.0,0.0
95f2ab15-5ecb-4a0a-b5a8-efe9bee9616a,Individual,767,130495,1047,2.7250133545439157,41,Low,0.7565908249239299,Mombasa,Twitter for Android,0.0,0.0
01bc88eb-cf0c-4dab-b194-f171d60abfdc,Individual,27,282,4083,1.216353130320711,71,Medium,0.17019478824112327,Nairobi,Twitter for Android,0.0,0.0
