is_retweet,retweet_retweet_count,retweet_screen_name,retweet_text,text
0,,,,@DCI_Kenya Sector totally out of control. No regard for law and order. Chaotic and unruly and part of crime. In most shootings you hear it was done by someone riding a motor bike. We need law and order in boda boda operations ! https://t.co/Z4IDCI6Si7
0,,,,"@ntvkenya Boda Boda in the Nairobi CBD should be NYS Nairobi county employees
https://t.co/r203Yk5p64"
0,,,,"@Kenyans What happened in Forest Road by Boda Boda was promoted by Sonko not Kidero
https://t.co/LSoH95D5Op"
0,,,,"Ujamaliza deni ya Valentine's, International women's Day ndo hiyo(kutoboka) unafika home uchill, kuingia online hivi dem wako amepost #allmenaretrash
Juu ya ujinga ya wasee wa boda uko #forestroad."
1,4,Cynthiakimanyi1,"No leader Shoud be campaigning in Baringo until peace is restored.
#Baringoisbleeding 

Githurai Boda Boda Kidero Maralal #sonko https://t.co/psKX7Bhax2","RT @Cynthiakimanyi1: No leader Shoud be campaigning in Baringo until peace is restored.
#Baringoisbleeding 

Githurai Boda Boda Kidero Mara…"
0,,,,"Jayden orders crack down on all boda boda operators in Nairobi and across the country after the Forest road incident.

Nairobi CBD Charles Keter Forest Road Nduthi https://t.co/MH0OADf8Q5"
1,11,,"Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business interest that begun in 2018. Curiously, one event was sponsored by @RUBiSKenya_ 
@Aaroncheruiyot calls it knee jerk, I agree!","RT @OleItumbi: Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business…"
1,11,,"Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business interest that begun in 2018. Curiously, one event was sponsored by @RUBiSKenya_ 
@Aaroncheruiyot calls it knee jerk, I agree!","RT @OleItumbi: Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business…"
1,11,,"Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business interest that begun in 2018. Curiously, one event was sponsored by @RUBiSKenya_ 
@Aaroncheruiyot calls it knee jerk, I agree!","RT @OleItumbi: Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business…"
1,2,SylviaKangara,"Kenyan politicians and charities decided the boda boda is the way to empower unemployed youth. They forgot the best empowerment of all is the empowerment of the mind, spirit and being. These they violate every day, and women bear the brunt every day. Transferred aggression.",RT @SylviaKangara: Kenyan politicians and charities decided the boda boda is the way to empower unemployed youth. They forgot the best empo…
0,,,,No se qué de una boda... https://t.co/eGrWzZG3Dm
0,,,,"@NationBreaking Again this is overzealous and wrong. Arrest the SUSPECTS only .
 Suspend Boda boda operations within Nairobi and its environs till concrete reform is done. Do not declare war on people's livelihoods or give authority to police to further extort,harass abuse innocent people."
1,19,MisterAlbie,"Attempted rape/sexual assault
Robbery with violence
Grievous bodily harm

Those boda boda guys might never see outside prison for the remaining part of their lives.","RT @MisterAlbie: Attempted rape/sexual assault
Robbery with violence
Grievous bodily harm

Those boda boda guys might never see outside pri…"
1,388,Wordslinger__,"Hear me out: banning Boda Boda is not a solution. Bodas help us navigate a clogged city, help put food on many tables. I've met a proud Boda guy who had a son joining campus off the sweat of his bike, a Bajaj Boxer. In this tough economy, they keep kids in school and necessary","RT @Wordslinger__: Hear me out: banning Boda Boda is not a solution. Bodas help us navigate a clogged city, help put food on many tables. I…"
1,35,StateHouseKenya,"1/3 President Uhuru Kenyatta has ordered a countrywide security crackdown aimed at weeding out rogue boda boda operators from the sector following the recent assault of a female motorist along Wangari Maathai Road in Nairobi County. #IWD2022

Read more: https://t.co/efRj91gGYb https://t.co/nOxQb1hPgZ",RT @StateHouseKenya: 1/3 President Uhuru Kenyatta has ordered a countrywide security crackdown aimed at weeding out rogue boda boda operato…
1,5,,Damn! This is extreme. Nduthi guys are also hustling like any other Kenyans. The culprits who assaulted a woman were less than 20. Victimizing the whole sector won't help. This boda boda men's have families too to provide for. https://t.co/Zz77WUSjX4,RT @SenatorRuto: Damn! This is extreme. Nduthi guys are also hustling like any other Kenyans. The culprits who assaulted a woman were less…
0,,,,"@maggie_loise @citizentvkenya What if the boda guy now being harassed by the government was your family bread winner? Your husband, your father or your son... Compounded punishment is as stupid as the teacher punishing the whole class for noise making. And yes I know sexual assault is not a petty crime,"
0,,,,"@activated_acc @gabrieloguda Haven't you seen a story about how boda bodas have successfully bought land and build houses at Kitengela, I think achieving that is a demonstration of serious organization, those are graduating to Estate Dons."
1,11,,"Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business interest that begun in 2018. Curiously, one event was sponsored by @RUBiSKenya_ 
@Aaroncheruiyot calls it knee jerk, I agree!","RT @OleItumbi: Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business…"
0,,,,"We brand how you want it
&gt; We do Custom Printing on;
    &gt;&gt; Hoodies    &gt;&gt; Tshirts     &gt;&gt; Caps
    &gt;&gt; Magic mugs   &gt;&gt; Notebooks   &gt;&gt; Reflectors
 &gt; Delivery done Country wide
 &gt; Contact 0706638979
Githurai Charles Keter Nairobi Kidero boda boda sonko Forest Road #ikokazi https://t.co/PwjrrfzTf0"
0,,,,"@KenyanTraffic @IsMosota Instead, I don't board a boda unless I know you or you are really old."
1,328,,President Uhuru orders crackdown on boda boda operators following Forest Road incident. https://t.co/KpbghTMICv,RT @ntvkenya: President Uhuru orders crackdown on boda boda operators following Forest Road incident. https://t.co/KpbghTMICv
0,,,,"It's also something about our society.
in 2014 it was women in matatus
in 2022 it's women on Boda Bodas.
then 3-4 crackdown days for PR,
But It keeps on coming back at different places.
Sadly, you'll see people just standing by to cheer and record for reactions."
0,,,,"Former Nairobi Governor Mike Sonko, his wife and 3 children banned from traveling to the USA after he was found to have been involved in corruption, money laundering while he was the governor.

Forest Road ||Boda Boda ||Nduthi ||Kidero ||Agnes Kagure ||Nairobi CBD ||Githurai 45 https://t.co/cw1QF5MgP4"
1,5,EnochCheruiyo12,"That lady did a mistake in the first case,aligonga MTU WA boda....I stand with boychaold....
#RutoTheTourist 
Boda Boda 
Nairobi cbd
Jayden https://t.co/RzyTpIMNkb","RT @EnochCheruiyo12: That lady did a mistake in the first case,aligonga MTU WA boda....I stand with boychaold....
#RutoTheTourist 
Boda Bod…"
1,1,kiptoomanuu,Over 200 Boda Boda Operators Arrested Over Sexual Assault of Female Driver https://t.co/K34G1Eup10,RT @kiptoomanuu: Over 200 Boda Boda Operators Arrested Over Sexual Assault of Female Driver https://t.co/K34G1Eup10
1,237,RodgersKipembe,"There is nothing like violence against women, every gender suffers from Rogue Boda Boda riders. Pulling a 'gender' card in this whole issue is the surest way of departing from common sense.

Morning.","RT @RodgersKipembe: There is nothing like violence against women, every gender suffers from Rogue Boda Boda riders. Pulling a 'gender' card…"
1,4,,"""Being a Women's Day i join the country in condemning the Forest Road indecent act to a lady motorist by Boda Boda https://t.co/a3PtnvCavJ's uncalled for,inhumane,unGodly &amp; criminal.Nothing to smile about it. Sad!""~@edithmwirigi 
@mwendathuranira
#InternationalWomensDay https://t.co/FDsqK4WVyg","RT @MutumaoNkanata: ""Being a Women's Day i join the country in condemning the Forest Road indecent act to a lady motorist by Boda Boda http…"
1,152,kkioko010,"LETS CHANGE BODA BODA SECTOR
REQUIREMENTS
1. Licence
2. good conduct
3. insuarance cover 
4. sacco
5. name tags with ID number and photo displayed
6. wear reflector with sacco name
add your ideas to bring sanity in this sector.
Charles Keter Nairobi CBD Jayden Forest Road","RT @kkioko010: LETS CHANGE BODA BODA SECTOR
REQUIREMENTS
1. Licence
2. good conduct
3. insuarance cover 
4. sacco
5. name tags with ID numb…"
1,328,,President Uhuru orders crackdown on boda boda operators following Forest Road incident. https://t.co/KpbghTMICv,RT @ntvkenya: President Uhuru orders crackdown on boda boda operators following Forest Road incident. https://t.co/KpbghTMICv
1,14,ItsJeffreyJeff,99.9% ya boda boda operators hua hawa-observe traffic rules..thats why fatalities hua wengi sana,RT @ItsJeffreyJeff: 99.9% ya boda boda operators hua hawa-observe traffic rules..thats why fatalities hua wengi sana
1,53,MigunaMiguna,"The discussion at my diner table revolves around the urgent need for an EFFICIENT PUBLIC TRANSIT SYSTEM in Kenya where some of the millions of youth struggling as Boda Boda riders will be GAINFULLY EMPLOYED. But despot Uhuru Kenyatta wants to ""regulate Boda Boda riders."" Bure!",RT @MigunaMiguna: The discussion at my diner table revolves around the urgent need for an EFFICIENT PUBLIC TRANSIT SYSTEM in Kenya where so…
0,,,,"@SylviaKangara Boda boda has given young people means of income. Has reduced crimes and gbv. After accepting these truths, we can find ways to reduce further violence and sexual violence problems. The best empowerment is jobs. Mind and spirit are subjective things not the state's business"
0,,,,"Is there any nude beach in Kenya..?
Asking for myself 

Forest Road
Boda Boda
Kidero
bahati
Nairobi CBD"
0,,,,@bodaactivist Too many criminals in boda business.
1,25,Dreymwangi,Sasa hakuna kupandisha hoes boda 6 am in the morning tena before neighbors waamke https://t.co/nVGxaCT78r,RT @Dreymwangi: Sasa hakuna kupandisha hoes boda 6 am in the morning tena before neighbors waamke https://t.co/nVGxaCT78r
0,,,,"Si tienes una boda en la playa, ¡no te pierdas estas ideas de inspiración! Serás la invitada perfecta. 
https://t.co/hLipnxsuji"
0,,,,"@Disembe In summary Kanu youth wingers,Mungiki and Boda boda guys same WhatsApp group"
